Tier,FICO,Approve Date,Term,Amount,Car  Type,Competition rate,Accept?,Rate,Cost of Funds,Partner Bin
3,695,7/1/02,72,35000,N,6.25,0,7.49,1.8388,1
1,751,7/1/02,60,40000,N,5.65,0,5.49,1.8388,3
1,731,7/1/02,60,18064,N,5.65,0,5.49,1.8388,3
4,652,7/1/02,72,15415,N,6.25,0,8.99,1.8388,3
1,730,7/1/02,48,32000,N,5.65,0,5.49,1.8388,1
2,725,7/1/02,36,10000,N,4.95,0,5.79,1.8388,3
1,808,7/1/02,72,19000,N,6.25,0,6.59,1.8388,3
1,779,7/1/02,48,25000,U,5.85,0,5.85,1.8388,3
4,664,7/1/02,72,7500,N,6.25,0,8.99,1.8388,3
2,706,7/1/02,60,22000,N,5.65,0,5.79,1.8388,3
4,666,7/1/02,60,13000,N,5.65,0,7.99,1.8388,3
2,712,7/1/02,48,16000,N,5.65,0,5.79,1.8388,1
1,733,7/1/02,48,23619,N,5.65,0,4.85,1.8388,1
1,746,7/1/02,48,11500,U,5.85,0,5.85,1.8388,1
3,680,7/1/02,72,37000,N,6.25,0,7.49,1.8388,3
1,752,7/1/02,72,16000,N,6.25,0,6.59,1.8388,1
2,719,7/1/02,60,21000,N,5.65,0,5.79,1.8388,3
1,730,7/1/02,60,17603,N,5.65,0,5.49,1.8388,3
2,710,7/1/02,60,20000,N,5.65,0,5.79,1.8388,3
3,696,7/1/02,60,21000,N,5.65,0,6.99,1.8388,3
2,708,7/1/02,72,40000,N,6.25,0,6.99,1.8388,1
3,694,7/1/02,60,24000,N,5.65,0,6.99,1.8388,3
1,731,7/1/02,72,30000,N,6.25,0,6.59,1.8388,3
3,672,7/1/02,72,20000,U,6.45,0,7.69,1.8388,3
3,696,7/1/02,36,10000,N,4.95,0,6.99,1.8388,3
1,743,7/1/02,60,16800,N,5.65,0,5.49,1.8388,3
2,708,7/1/02,60,46000,N,5.65,0,5.79,1.8388,3
1,743,7/1/02,36,19100,N,4.95,1,4.85,1.8388,1
4,644,7/1/02,48,21500,N,5.65,0,7.99,1.8388,1
1,770,7/1/02,72,28000,N,6.25,0,6.59,1.8388,1
3,683,7/1/02,72,21000,N,6.25,0,7.49,1.8388,3
2,715,7/1/02,60,21000,U,5.85,0,6.19,1.8388,1
1,779,7/1/02,48,20000,N,5.65,0,5.49,1.8388,3
3,693,7/1/02,60,21000,N,5.65,0,6.99,1.8388,1
3,672,7/1/02,48,15000,N,5.65,0,6.99,1.8388,3
1,749,7/1/02,72,35000,N,6.25,0,6.59,1.8388,3
1,752,7/1/02,60,36460.08,N,5.65,1,5.49,1.8388,1
1,778,7/1/02,48,12000,U,5.85,1,5.85,1.8388,3
2,707,7/1/02,72,30000,N,6.25,0,6.99,1.8388,3
2,715,7/1/02,60,29000,N,5.65,0,5.79,1.8388,3
2,725,7/1/02,60,26000,N,5.65,0,5.79,1.8388,3
2,703,7/1/02,36,17500,N,4.95,0,5.79,1.8388,1
1,791,7/1/02,48,18000,N,5.65,0,5.49,1.8388,3
2,724,7/1/02,60,19290,N,5.65,1,5.39,1.8388,3
2,700,7/1/02,60,13000,N,5.65,0,5.79,1.8388,1
1,736,7/1/02,60,20000,N,5.65,0,5.49,1.8388,1
3,695,7/1/02,66,48350,N,6.25,0,7.49,1.8388,3
4,654,7/1/02,72,20000,N,6.25,0,8.99,1.8388,1
1,732,7/1/02,60,18000,N,5.65,0,5.49,1.8388,3
3,675,7/1/02,60,30000,N,5.65,0,6.99,1.8388,1
2,704,7/1/02,36,30000,N,4.95,0,5.79,1.8388,3
1,775,7/1/02,60,27000,N,5.65,0,5.49,1.8388,1
1,793,7/1/02,60,17000,N,5.65,0,5.49,1.8388,1
2,722,7/1/02,72,33000,N,6.25,0,6.99,1.8388,1
2,700,7/1/02,72,24461.12,N,6.25,1,6.99,1.8388,3
1,758,7/1/02,60,28000,N,5.65,0,5.49,1.8388,3
1,756,7/1/02,66,12251,U,6.45,1,6.49,1.8388,1
1,758,7/1/02,60,21000,N,5.65,0,5.49,1.8388,3
2,716,7/1/02,36,11822,N,4.95,0,5.79,1.8388,1
4,660,7/1/02,72,28500,N,6.25,0,8.99,1.8388,1
1,766,7/1/02,60,25000,N,5.65,0,5.49,1.8388,1
1,824,7/1/02,72,37000,N,6.25,0,6.59,1.8388,1
3,676,7/1/02,60,25000,N,5.65,0,6.99,1.8388,1
2,718,7/1/02,72,30230,N,6.25,0,6.99,1.8388,1
1,765,7/1/02,48,23000,N,5.65,0,5.49,1.8388,1
1,766,7/1/02,72,45000,N,6.25,0,6.59,1.8388,3
3,676,7/1/02,72,30000,N,6.25,0,7.49,1.8388,3
1,739,7/1/02,36,32000,N,4.95,0,4.85,1.8388,1
2,708,7/1/02,72,27925,N,6.25,0,6.99,1.8388,3
3,695,7/1/02,72,30000,N,6.25,0,7.49,1.8388,3
1,783,7/1/02,36,30000,N,4.95,0,4.85,1.8388,1
1,773,7/1/02,60,50000,N,5.65,0,5.49,1.8388,1
3,673,7/1/02,48,17500,N,5.65,0,6.99,1.8388,1
1,758,7/1/02,72,50000,N,6.25,0,6.59,1.8388,3
4,663,7/1/02,60,33000,N,5.65,0,7.99,1.8388,1
4,648,7/1/02,72,26000,N,6.25,0,8.99,1.8388,1
1,746,7/1/02,60,25000,N,5.65,0,5.49,1.8388,3
4,647,7/1/02,36,13960,N,4.95,0,7.99,1.8388,3
2,719,7/1/02,60,26000,N,5.65,0,5.79,1.8388,1
4,658,7/1/02,60,18888.75,U,5.85,1,7.99,1.8388,1
3,680,7/1/02,60,30586,N,5.65,0,6.99,1.8388,3
3,687,7/1/02,60,34000,N,5.65,0,6.99,1.8388,1
4,646,7/3/02,66,15000,N,6.25,0,8.99,1.8388,1
1,766,7/1/02,72,10555.49,U,6.45,1,6.69,1.8388,1
2,703,7/1/02,72,26294,N,6.25,0,6.24,1.8388,1
1,779,7/1/02,72,20011.59,N,6.25,1,6.59,1.8388,1
1,791,7/1/02,48,30000,N,5.65,0,5.49,1.8388,1
3,690,7/1/02,60,25000,N,5.65,0,6.99,1.8388,3
3,675,7/1/02,36,18000,N,4.95,0,6.99,1.8388,3
1,739,7/1/02,60,45000,N,5.65,0,5.49,1.8388,3
1,797,7/1/02,60,30000,N,5.65,0,5.49,1.8388,3
4,657,7/1/02,60,39000,N,5.65,0,7.99,1.8388,1
1,779,7/1/02,72,56685,N,6.25,0,6.59,1.8388,1
4,641,7/1/02,72,33000,N,6.25,0,8.99,1.8388,3
1,764,7/1/02,60,35000,U,5.85,0,5.85,1.8388,3
2,701,7/1/02,60,16510,U,5.85,1,6.19,1.8388,1
1,779,7/1/02,36,30000,N,4.95,0,4.85,1.8388,3
3,696,7/1/02,48,24915,N,5.65,0,6.99,1.8388,3
1,758,7/1/02,60,44021.44,N,5.65,1,5.49,1.8388,1
2,729,7/1/02,48,25000,N,5.65,0,5.79,1.8388,1
2,728,7/1/02,48,35000,N,5.65,0,5.79,1.8388,1
1,734,7/1/02,60,27000,U,5.85,0,5.85,1.8388,1
4,648,7/1/02,48,34721,N,5.65,0,7.99,1.8388,1
4,642,7/1/02,48,17821,N,5.65,0,7.99,1.8388,3
4,655,7/1/02,60,33000,N,5.65,0,7.99,1.8388,1
1,731,7/1/02,60,33000,N,5.65,0,5.49,1.8388,1
2,717,7/1/02,60,42000,N,5.65,0,5.79,1.8388,3
1,749,7/1/02,36,26000,N,4.95,0,4.85,1.8388,1
1,759,7/1/02,48,28000,N,5.65,0,5.49,1.8388,1
1,731,7/1/02,60,17500,U,5.85,0,5.85,1.8388,1
4,662,7/1/02,60,26500,N,5.65,0,7.99,1.8388,3
4,661,7/1/02,48,9738.55,U,5.85,1,7.99,1.8388,2
1,738,7/1/02,60,32000,N,5.65,0,5.49,1.8388,3
1,768,7/1/02,72,38000,N,6.25,0,6.59,1.8388,3
1,783,7/1/02,36,18000,N,4.95,0,4.85,1.8388,1
1,763,7/1/02,36,31000,N,4.95,0,4.85,1.8388,3
2,720,7/1/02,72,31000,N,6.25,0,6.99,1.8388,1
2,711,7/1/02,60,31000,N,5.65,0,5.79,1.8388,1
2,705,7/1/02,60,38000,N,5.65,0,5.79,1.8388,1
2,723,7/1/02,36,21000,N,4.95,0,5.79,1.8388,3
1,752,7/3/02,72,65000,N,6.25,0,6.59,1.8388,3
1,745,7/1/02,36,25000,U,5.45,0,5.49,1.8388,3
3,693,7/1/02,72,31066,N,6.25,0,7.49,1.8388,3
3,679,7/1/02,72,55000,N,6.25,0,7.49,1.8388,3
1,747,7/1/02,72,40000,N,6.25,0,6.59,1.8388,3
1,786,7/1/02,48,22150,N,5.65,0,5.49,1.8388,3
3,699,7/1/02,66,31500,N,6.25,0,7.49,1.8388,1
1,756,7/1/02,36,15898,U,5.45,0,5.49,1.8388,3
1,746,7/1/02,60,34000,N,5.65,0,5.49,1.8388,1
2,725,7/1/02,72,30000,N,6.25,0,6.99,1.8388,3
2,724,7/1/02,72,26000,N,6.25,0,6.99,1.8388,1
2,722,7/1/02,60,50000,N,5.65,0,5.79,1.8388,1
2,729,7/1/02,48,35114,N,5.65,0,5.79,1.8388,1
4,659,7/1/02,72,46000,N,6.25,0,8.99,1.8388,3
1,776,7/1/02,36,30000,N,4.95,0,4.85,1.8388,1
3,692,7/1/02,48,35000,N,5.65,0,6.99,1.8388,3
2,707,7/1/02,36,29000,N,4.95,0,5.79,1.8388,3
2,705,7/1/02,60,13024.26,U,5.85,1,6.19,1.8388,2
1,733,7/1/02,72,35000,U,6.45,0,6.69,1.8388,3
1,779,7/1/02,60,10000,U,5.85,1,5.85,1.8388,1
1,761,7/1/02,60,28000,N,5.65,0,5.49,1.8388,1
1,747,7/1/02,48,35000,N,5.65,0,5.49,1.8388,1
1,748,7/1/02,60,27000,N,5.65,0,5.49,1.8388,3
3,683,7/1/02,72,30000,N,6.25,0,7.49,1.8388,3
1,748,7/1/02,72,37500,U,6.45,0,6.69,1.8388,1
1,774,7/1/02,60,35000,N,5.65,0,5.49,1.8388,2
2,705,7/1/02,60,32000,N,5.65,0,5.79,1.8388,3
2,703,7/1/02,72,18000,N,6.25,0,6.99,1.8388,1
1,760,7/1/02,48,26000,N,5.65,0,5.49,1.8388,1
2,710,7/1/02,36,30000,N,4.95,0,5.79,1.8388,1
3,698,7/1/02,48,20000,N,5.65,0,6.99,1.8388,3
4,641,7/1/02,36,14094,N,4.95,0,7.99,1.8388,3
1,771,7/1/02,72,25683,N,6.25,0,6.59,1.8388,1
2,709,7/1/02,60,48000,N,5.65,0,5.79,1.8388,3
1,785,7/1/02,60,45000,N,5.65,0,5.49,1.8388,1
4,653,7/1/02,60,39000,N,5.65,1,7.99,1.8388,3
1,731,7/1/02,36,40000,N,4.95,0,4.85,1.8388,1
1,788,7/1/02,60,36921,N,5.65,0,5.49,1.8388,1
1,799,7/1/02,60,33729,N,5.65,0,5.49,1.8388,1
2,701,7/1/02,72,28506.1,N,6.25,1,6.99,1.8388,3
1,787,7/1/02,48,32000,N,5.65,0,5.49,1.8388,3
1,751,7/1/02,72,40000,N,6.25,0,6.59,1.8388,1
1,743,7/1/02,48,11175,N,5.65,0,5.49,1.8388,1
4,658,7/1/02,72,25000,N,6.25,0,8.99,1.8388,3
2,717,7/1/02,60,35960,U,5.85,0,6.19,1.8388,3
3,699,7/1/02,72,29000,U,6.45,0,7.69,1.8388,3
4,664,7/1/02,72,32500,N,6.25,0,8.99,1.8388,1
3,670,7/1/02,60,24386,N,5.65,0,6.99,1.8388,3
3,691,7/1/02,72,37175,N,6.25,0,7.49,1.8388,1
1,787,7/1/02,36,35000,N,4.95,0,4.85,1.8388,1
1,758,7/1/02,60,26000,N,5.65,0,5.49,1.8388,3
2,726,7/1/02,60,40000,N,5.65,0,5.79,1.8388,1
2,714,7/1/02,60,30893,N,5.65,0,5.79,1.8388,3
4,662,7/1/02,60,58827,N,5.65,0,7.99,1.8388,1
1,791,7/1/02,72,18861.3,U,6.45,1,6.69,1.8388,1
1,774,7/1/02,60,30000,N,5.65,0,5.49,1.8388,2
3,688,7/1/02,60,45000,N,5.65,0,6.99,1.8388,3
1,753,7/3/02,72,53975,N,6.25,0,6.59,1.8388,1
4,666,7/1/02,72,29133,N,6.25,0,8.99,1.8388,1
4,649,7/1/02,72,47000,N,6.25,0,8.99,1.8388,3
1,754,7/1/02,60,33206.25,N,5.65,1,5.49,1.8388,1
2,721,7/1/02,60,36315,N,5.65,0,5.79,1.8388,1
1,732,7/1/02,72,35000,N,6.25,0,6.59,1.8388,1
1,755,7/1/02,72,30000,N,6.25,0,6.59,1.8388,3
1,737,7/1/02,60,30000,N,5.65,0,5.49,1.8388,1
3,677,7/1/02,72,23000,N,6.25,0,7.49,1.8388,3
1,799,7/1/02,60,38000,N,5.65,0,5.49,1.8388,3
1,782,7/1/02,36,25000,N,4.95,0,4.85,1.8388,1
1,734,7/1/02,60,40000,N,5.65,0,5.49,1.8388,1
4,657,7/2/02,72,20000,N,6.25,0,8.99,1.8388,3
3,676,7/2/02,72,45000,N,6.25,0,6.64,1.8388,1
2,700,7/2/02,60,16500,U,5.85,1,6.19,1.8388,2
4,655,7/2/02,60,27378,N,5.65,0,7.99,1.8388,3
3,685,7/2/02,60,35000,N,5.65,0,6.99,1.8388,1
2,716,7/2/02,36,39333,N,4.95,0,5.79,1.8388,1
3,687,7/2/02,60,25000,N,5.65,0,6.99,1.8388,3
1,751,7/2/02,60,32000,N,5.65,0,5.49,1.8388,3
1,791,7/2/02,60,42000,N,5.65,0,5.49,1.8388,3
1,742,7/2/02,60,30500,U,5.85,0,5.85,1.8388,1
2,702,7/2/02,72,38500,N,6.25,0,6.99,1.8388,2
1,805,7/2/02,48,25000,N,5.65,0,5.49,1.8388,2
1,788,7/2/02,60,40000,N,5.65,0,5.49,1.8388,1
4,644,7/2/02,60,29865,N,5.65,0,7.99,1.8388,3
2,710,7/2/02,60,48000,N,5.65,0,5.79,1.8388,2
1,774,7/2/02,60,35000,N,5.65,0,5.49,1.8388,2
3,681,7/2/02,72,21500,N,6.25,0,7.49,1.8388,3
2,722,7/2/02,72,40000,N,6.25,0,6.99,1.8388,3
2,721,7/2/02,60,30000,N,5.65,0,5.79,1.8388,1
2,707,7/2/02,60,24946.69,N,5.65,1,5.79,1.8388,3
1,815,7/2/02,60,35000,N,5.65,0,5.49,1.8388,3
1,748,7/2/02,36,20933,N,4.95,0,4.85,1.8388,3
2,706,7/2/02,60,30000,N,5.65,0,5.79,1.8388,1
1,784,7/2/02,36,20000,N,4.95,0,4.85,1.8388,3
3,673,7/2/02,60,19757,N,5.65,0,6.99,1.8388,3
3,683,7/2/02,72,20520,N,6.25,0,7.49,1.8388,1
4,654,7/2/02,72,26168,N,6.25,0,8.19,1.8388,3
3,679,7/2/02,72,39000,N,6.25,1,7.49,1.8388,1
2,719,7/2/02,48,23500,N,5.65,0,5.79,1.8388,1
3,673,7/2/02,72,12000,N,6.25,0,7.49,1.8388,3
1,782,7/2/02,48,24000,U,5.85,0,5.85,1.8388,1
1,811,7/2/02,36,17826,U,5.45,0,5.49,1.8388,1
1,764,7/2/02,72,45000,N,6.25,0,6.59,1.8388,1
3,672,7/2/02,60,27000,N,5.65,0,6.99,1.8388,3
1,777,7/2/02,60,16986.9,U,5.85,1,5.85,1.8388,2
1,757,7/2/02,72,28500,N,6.25,0,6.59,1.8388,3
3,676,7/2/02,72,32000,N,6.25,0,7.49,1.8388,1
4,669,7/2/02,72,30000,N,6.25,0,8.99,1.8388,3
2,711,7/2/02,72,38000,N,6.25,0,6.99,1.8388,1
1,795,7/2/02,60,23000,N,5.65,0,5.49,1.8388,3
1,743,7/2/02,72,30254,N,6.25,0,6.59,1.8388,3
1,812,7/2/02,60,25000,N,5.65,0,5.49,1.8388,1
1,754,7/2/02,72,40710,U,6.45,0,6.69,1.8388,1
1,765,7/2/02,60,23337.43,U,5.85,1,5.85,1.8388,2
3,698,7/2/02,72,46862.36,U,6.45,1,7.69,1.8388,1
1,759,7/2/02,48,30000,N,5.65,0,5.49,1.8388,1
2,708,7/2/02,60,32872,N,5.65,0,5.79,1.8388,3
2,722,7/2/02,36,48000,N,4.95,0,5.79,1.8388,1
4,653,7/2/02,48,19048,U,5.85,0,7.99,1.8388,3
2,722,7/2/02,48,17500,N,5.65,0,5.79,1.8388,3
1,739,7/2/02,36,22597.47,N,4.95,1,4.85,1.8388,1
3,675,7/2/02,60,18000,U,5.85,1,7.29,1.8388,1
3,684,7/2/02,60,39000,N,5.65,0,6.99,1.8388,1
1,733,7/2/02,72,36889.5,N,6.25,1,6.59,1.8388,3
3,674,7/2/02,60,28000,N,5.65,0,6.99,1.8388,3
4,650,7/2/02,36,22000,N,4.95,0,7.99,1.8388,3
1,775,7/2/02,72,42000,N,6.25,0,6.59,1.8388,1
1,783,7/2/02,36,18223,N,4.95,0,4.85,1.8388,1
1,763,7/2/02,60,45000,N,5.65,0,5.49,1.8388,3
1,807,7/2/02,36,20000,N,4.95,0,4.85,1.8388,1
1,772,7/2/02,60,25000,N,5.65,0,5.49,1.8388,1
1,741,7/2/02,60,17372.78,N,5.65,1,5.59,1.8388,2
1,827,7/2/02,72,31000,U,6.45,0,6.69,1.8388,3
1,740,7/2/02,60,37000,N,5.65,0,5.49,1.8388,3
1,748,7/2/02,36,43000,N,4.95,0,4.85,1.8388,3
1,791,7/2/02,60,38000,N,5.65,0,5.49,1.8388,3
3,680,7/2/02,72,26000,N,6.25,0,7.49,1.8388,1
3,680,7/2/02,60,27000,N,5.65,0,6.99,1.8388,1
3,686,7/2/02,72,27502,N,6.25,0,7.49,1.8388,3
3,693,7/2/02,60,31000,N,5.65,0,6.99,1.8388,1
4,643,7/2/02,60,21160,U,5.85,0,7.99,1.8388,1
4,653,7/2/02,48,17007,N,5.65,0,7.99,1.8388,3
1,730,7/2/02,60,33000,N,5.65,0,5.39,1.8388,1
1,787,7/2/02,36,50000,N,4.95,0,4.85,1.8388,3
2,705,7/2/02,72,40000,N,6.25,0,6.99,1.8388,1
4,651,7/2/02,72,38000,N,6.25,0,8.99,1.8388,3
1,781,7/2/02,48,41000,N,5.65,0,5.49,1.8388,1
1,746,7/2/02,60,33000,N,5.65,0,5.49,1.8388,2
4,644,7/2/02,60,37000,N,5.65,0,7.99,1.8388,3
1,794,7/2/02,60,50000,N,5.65,0,5.49,1.8388,1
2,714,7/2/02,60,24303,N,5.65,0,5.79,1.8388,1
1,772,7/2/02,48,21000,U,5.85,0,5.85,1.8388,1
4,669,7/2/02,72,18800,N,6.25,0,8.99,1.8388,1
2,726,7/2/02,60,35000,N,5.65,0,5.79,1.8388,3
2,703,7/2/02,60,30028,N,5.65,0,5.79,1.8388,2
4,669,7/2/02,60,57500,N,5.65,0,7.99,1.8388,3
4,668,7/2/02,60,65000,N,5.65,0,7.99,1.8388,3
1,767,7/2/02,48,17500,N,5.65,0,5.49,1.8388,3
4,646,7/2/02,72,21641,N,6.25,0,8.99,1.8388,3
4,667,7/2/02,48,25196,N,5.65,0,7.99,1.8388,3
1,740,7/2/02,72,35000,U,6.45,0,6.69,1.8388,1
1,768,7/3/02,72,40000,N,6.25,0,6.59,1.8388,1
1,809,7/2/02,48,27800,N,5.65,0,5.49,1.8388,3
4,644,7/2/02,72,12500,N,6.25,0,8.99,1.8388,1
1,753,7/2/02,72,30000,U,6.45,0,6.69,1.8388,3
1,751,7/2/02,36,9117,U,5.45,0,5.49,1.8388,3
1,780,7/2/02,72,35501,N,6.25,0,6.59,1.8388,1
4,640,7/2/02,72,32587,N,6.25,0,8.99,1.8388,1
1,747,7/2/02,60,34000,N,5.65,0,5.49,1.8388,1
1,737,7/2/02,60,17042.69,N,5.65,1,5.49,1.8388,1
4,664,7/2/02,48,27654,N,5.65,0,7.99,1.8388,1
3,682,7/2/02,66,48438,N,6.25,0,7.49,1.8388,3
1,738,7/2/02,72,37868,N,6.25,0,6.59,1.8388,1
2,705,7/2/02,72,25000,N,6.25,0,6.99,1.8388,3
2,723,7/2/02,60,25333,N,5.65,0,5.79,1.8388,3
1,750,7/2/02,60,27000,N,5.65,0,5.49,1.8388,1
1,778,7/2/02,60,17201.32,U,5.85,1,5.85,1.8388,3
1,777,7/2/02,36,45000,N,4.95,0,4.85,1.8388,3
1,763,7/2/02,72,47000,N,6.25,0,6.59,1.8388,3
1,774,7/2/02,48,22000,N,5.65,0,5.49,1.8388,3
1,770,7/2/02,60,41000,N,5.65,0,5.49,1.8388,1
1,738,7/2/02,60,30000,N,5.65,0,5.49,1.8388,1
4,667,7/2/02,72,19000,N,6.25,0,8.99,1.8388,3
2,708,7/2/02,60,11369.33,U,5.85,1,6.19,1.8388,3
1,757,7/2/02,36,22500,N,4.95,0,4.85,1.8388,1
1,779,7/2/02,60,25000,N,5.65,0,5.49,1.8388,1
1,746,7/2/02,48,23000,N,5.65,0,5.49,1.8388,2
2,700,7/2/02,48,18830,N,5.65,0,4.89,1.8388,3
4,643,7/2/02,60,12807.9,U,5.85,1,7.99,1.8388,3
3,683,7/2/02,60,26752,N,5.65,0,6.99,1.8388,1
4,642,7/2/02,36,19500,U,5.45,0,7.99,1.8388,1
1,764,7/2/02,72,17597.01,U,6.45,1,6.69,1.8388,1
1,778,7/2/02,72,26000,U,6.45,0,6.69,1.8388,1
2,715,7/2/02,48,27268.89,N,5.65,1,5.79,1.8388,1
2,717,7/2/02,36,30000,N,4.95,0,5.79,1.8388,1
1,764,7/2/02,60,48000,N,5.65,0,5.49,1.8388,3
2,704,7/2/02,36,18000,N,4.95,0,5.79,1.8388,1
1,748,7/2/02,72,24000,U,6.45,0,6.69,1.8388,3
1,791,7/2/02,60,23912,N,5.65,0,5.49,1.8388,3
1,754,7/2/02,36,16288,N,4.95,0,4.73,1.8388,3
4,662,7/2/02,60,35097,U,5.85,0,7.99,1.8388,3
2,706,7/2/02,72,38000,N,6.25,0,6.99,1.8388,1
3,678,7/2/02,60,13650,U,5.85,1,7.29,1.8388,1
2,719,7/2/02,60,41000,N,5.65,0,5.79,1.8388,3
3,675,7/2/02,72,35000,U,6.45,1,7.69,1.8388,3
2,729,7/2/02,60,33000,N,5.65,0,5.79,1.8388,3
